,corrective_action
corrective_action,1.0
referensi_root_cause,0.7126484989533677
Kantor_Tujuan,0.130668836295802
Nopend_Tujuan,0.0793452919158422
Deskripsi,0.07808094337363677
Kode_Reg_Tujuan,0.06751868192580754
Tahun_BA,0.04776292635751439
Reg_Tujuan,-3.625385044172904e-17
Bulan_BA,-0.0006153466186553765
Kantor_Asal,-0.0014472325614572174
month_name,-0.027242724263344523
Week,-0.043981210856071956
Deskripsi_Iregularitas,-0.06427778242503725
Reg_Asal,-0.06857351324215144
DNLN,-0.08856148855400957
Nopend_Asal,-0.15698234656026414
Kode_Reg_Asal,-0.16095055499057567
